콘텐츠 유형,국가,조회수(만 건),조회수_건수
브이로그,일본,5065,50650000
브이로그,미국,3785,37850000
브이로그,인도,1048,10480000
브이로그,대만,280,2800000
브이로그,멕시코,206,2060000
브이로그,태국,199,1990000
브이로그,필리핀,117,1170000
브이로그,호주,87,870000
브이로그,러시아,61,610000
브이로그,영국,50,500000
먹방,태국,3425,34250000
먹방,미국,3334,33340000
먹방,일본,1841,18410000
먹방,말레이시아,829,8290000
먹방,인도,366,3660000
먹방,인도네시아,282,2820000
먹방,대만,173,1730000
먹방,멕시코,133,1330000
먹방,튀르키예,133,1330000
먹방,독일,79,790000
음식 리뷰,미국,6329,63290000
음식 리뷰,일본,3408,34080000
음식 리뷰,인도네시아,1885,18850000
음식 리뷰,말레이시아,908,9080000
음식 리뷰,태국,712,7120000
음식 리뷰,인도,189,1890000
음식 리뷰,베트남,134,1340000
음식 리뷰,영국,132,1320000
음식 리뷰,호주,109,1090000
음식 리뷰,튀르키예,100,1000000
음식 챌린지,미국,2154,21540000
음식 챌린지,태국,585,5850000
음식 챌린지,일본,374,3740000
음식 챌린지,튀르키예,107,1070000
음식 챌린지,영국,73,730000
음식 챌린지,싱가포르,61,610000
음식 챌린지,대만,19,190000
음식 챌린지,인도,7,70000
음식 챌린지,호주,2,20000
음식 챌린지,아랍에미리트,2,20000
레시피,미국,460,4600000
레시피,태국,331,3310000
레시피,인도,170,1700000
레시피,호주,140,1400000
레시피,일본,98,980000
레시피,영국,57,570000
레시피,말레이시아,38,380000
레시피,베트남,14,140000
레시피,러시아,5,50000
레시피,독일,4,40000
